,RunId,iteration,Step,N,r,dr,mr,cr,linkage_dis,altruistic fraction,true beards fraction,suckers fraction,impostors fraction,cowards fraction,n_agents
0,0,0,0,1000,0.25,0.95,0.0001,0,False,0.44724104549854793,0.23910939012584706,0.20813165537270087,0.30493707647628265,0.24782187802516942,1033
1,0,0,1,1000,0.25,0.95,0.0001,0,False,0.44682926829268294,0.2448780487804878,0.20195121951219513,0.3180487804878049,0.23512195121951218,1025
2,0,0,2,1000,0.25,0.95,0.0001,0,False,0.4143540669856459,0.24114832535885167,0.17320574162679425,0.3444976076555024,0.24114832535885167,1045
3,0,0,3,1000,0.25,0.95,0.0001,0,False,0.3782483156881617,0.2252165543792108,0.1530317613089509,0.3666987487969201,0.2550529355149182,1039
4,0,0,4,1000,0.25,0.95,0.0001,0,False,0.3232125367286974,0.1841332027424094,0.13907933398628794,0.41332027424094026,0.26346718903036237,1021
5,0,0,5,1000,0.25,0.95,0.0001,0,False,0.330078125,0.1953125,0.134765625,0.4453125,0.224609375,1024
6,0,0,6,1000,0.25,0.95,0.0001,0,False,0.299,0.169,0.13,0.484,0.217,1000
7,0,0,7,1000,0.25,0.95,0.0001,0,False,0.24329692154915591,0.15690168818272096,0.08639523336643495,0.5382323733862959,0.21847070506454816,1007
8,0,0,8,1000,0.25,0.95,0.0001,0,False,0.2232055063913471,0.14945919370698132,0.07374631268436578,0.5624385447394297,0.2143559488692232,1017
9,0,0,9,1000,0.25,0.95,0.0001,0,False,0.2341069626639758,0.16548940464177597,0.06861755802219979,0.5560040363269425,0.20988900100908173,991
10,0,0,10,1000,0.25,0.95,0.0001,0,False,0.20138203356367226,0.14215202369200394,0.059230009871668314,0.5883514313919053,0.2102665350444225,1013
11,0,0,11,1000,0.25,0.95,0.0001,0,False,0.20943952802359883,0.14355948869223206,0.06588003933136677,0.5722713864306784,0.2182890855457227,1017
12,0,0,12,1000,0.25,0.95,0.0001,0,False,0.1753875968992248,0.13662790697674418,0.03875968992248062,0.6085271317829457,0.21608527131782945,1032
13,0,0,13,1000,0.25,0.95,0.0001,0,False,0.1676190476190476,0.12666666666666668,0.040952380952380955,0.6304761904761905,0.2019047619047619,1050
14,0,0,14,1000,0.25,0.95,0.0001,0,False,0.12657004830917876,0.09758454106280193,0.028985507246376812,0.6927536231884058,0.18067632850241547,1035
15,0,0,15,1000,0.25,0.95,0.0001,0,False,0.12240868706811452,0.09378084896347483,0.028627838104639685,0.6692991115498519,0.20829220138203355,1013
16,0,0,16,1000,0.25,0.95,0.0001,0,False,0.10781404549950543,0.08902077151335312,0.018793273986152326,0.6894164193867458,0.20276953511374876,1011
17,0,0,17,1000,0.25,0.95,0.0001,0,False,0.09683995922528033,0.08460754332313965,0.012232415902140673,0.6962283384301733,0.2069317023445464,981
18,0,0,18,1000,0.25,0.95,0.0001,0,False,0.08731808731808732,0.08004158004158005,0.007276507276507277,0.7058212058212058,0.20686070686070687,962
19,0,0,19,1000,0.25,0.95,0.0001,0,False,0.08523908523908524,0.07588357588357589,0.009355509355509356,0.6881496881496881,0.22661122661122662,962
20,0,0,20,1000,0.25,0.95,0.0001,0,False,0.08299595141700405,0.0708502024291498,0.012145748987854251,0.6953441295546559,0.2216599190283401,988
21,0,0,21,1000,0.25,0.95,0.0001,0,False,0.061122244488977955,0.05410821643286573,0.0070140280561122245,0.7104208416833667,0.22845691382765532,998
22,0,0,22,1000,0.25,0.95,0.0001,0,False,0.04467005076142132,0.03654822335025381,0.008121827411167513,0.7106598984771574,0.24467005076142131,985
23,0,0,23,1000,0.25,0.95,0.0001,0,False,0.0421455938697318,0.03735632183908046,0.004789272030651341,0.7049808429118773,0.25287356321839083,1044
24,0,0,24,1000,0.25,0.95,0.0001,0,False,0.03857566765578635,0.03560830860534125,0.002967359050445104,0.7230464886251237,0.23837784371909002,1011
25,0,0,25,1000,0.25,0.95,0.0001,0,False,0.02926829268292683,0.024390243902439025,0.004878048780487805,0.7326829268292683,0.23804878048780487,1025
26,0,0,26,1000,0.25,0.95,0.0001,0,False,0.06886517943743937,0.06692531522793405,0.0019398642095053346,0.6828322017458778,0.24830261881668284,1031
27,0,0,27,1000,0.25,0.95,0.0001,0,False,0.06489675516224189,0.06293018682399214,0.0019665683382497543,0.6764995083579154,0.2586037364798427,1017
28,0,0,28,1000,0.25,0.95,0.0001,0,False,0.0654296875,0.0595703125,0.005859375,0.7109375,0.2236328125,1024
29,0,0,29,1000,0.25,0.95,0.0001,0,False,0.061938061938061936,0.056943056943056944,0.004995004995004995,0.7132867132867133,0.22477522477522477,1001
30,0,0,30,1000,0.25,0.95,0.0001,0,False,0.048514851485148516,0.04455445544554455,0.0039603960396039604,0.7287128712871287,0.22277227722772278,1010
